Tweet Id,User Name,User Screen Name,Text,Created Date,Retweet Count,Favorite Count,Profile Image URL
1254767899618635778,kiran@prabhas20,kiran09809078,"RT @goutham4098: #Prabhas via Facebook  3 years back 
#3YrsForMightyBaahubali2 https://t.co/AcwPesSxvo",04/27/2020 13:42:34,44,0,http://pbs.twimg.com/profile_images/1251510470541930501/qGnAGKfN_normal.jpg
1254767899245346816,MAGA,gulfcoastchelle,"RT @ernie_plumley: This was on [Facebook]..for a brief time..before it was taken down. I wonder why.

This is the only segment that I recei…",04/27/2020 13:42:34,943,0,http://pbs.twimg.com/profile_images/1114258411326246912/cK8mQIvD_normal.jpg
1254767898033369088,BCH.TEAM4LIFE,BTeam4life,RT @EDMDJSBEDROOMI1: #anotherone by #harder in #case #you #missit #fridaynightvibes #technovibes #djtonyharderwhokid  Watch it an share it…,04/27/2020 13:42:34,9,0,http://pbs.twimg.com/profile_images/1251876833492164608/K261epf5_normal.jpg
1254767897563418625,🐶FamilyMileyGang🐶,FamilyMileyGan1,RT @gunnapatn: วันที่ 28 เมษานี้ 6โมงตรง เจอกับพวกเราได้ที่ LIVE ของ facebook fanpage : LIPS MAGAZINE ที่ความพิเศษคือเราไม่ได้มามือเปล่า เพ…,04/27/2020 13:42:33,343,0,http://pbs.twimg.com/profile_images/1211259291916623872/vbDZ4Esl_normal.jpg
1254767897513246720,B👑,brrroooklynn,RT @juxtin__: maybe Facebook did make some points. https://t.co/pCHY0g2xg7,04/27/2020 13:42:33,31105,0,http://pbs.twimg.com/profile_images/1174106007959691264/bvH45Tci_normal.jpg
1254767896640630786,▀▄▀▄▀▄ 🆅🅴🆃🆃🅰🅸🆈🅰🅽அண்ணாத்த 🌟 ▄▀▄▀▄▀,vettaiyanparak,RT @kdthecomic: Saw this on Facebook today😂😂 https://t.co/EGGqAVvtxp,04/27/2020 13:42:33,116,0,http://pbs.twimg.com/profile_images/1246877800771903490/UBxjWowi_normal.jpg
1254767896619814912,Sports Morning,SportsMorning,"@SportsMorning at 9! @CoachPatJones at 10, @markrsports and @DustyDvoracek at 11, and your phone calls, texts, twee… https://t.co/PSQEeNvdp4",04/27/2020 13:42:33,0,0,http://pbs.twimg.com/profile_images/1534607649/2439789_normal.jpg
1254767896108171264,Best Chefs America,thebestchefs,RT @chefsymon: We’re makin a little pepperoni roll tonight...what’s better than cheese and dough?...it’s the same dough as last weeks pizza…,04/27/2020 13:42:33,12,0,http://pbs.twimg.com/profile_images/956398084552044544/jYgj-mct_normal.jpg
1254767895340388353,Громов Сергей,sohi1962,Это Россия ! Мишка пришёл пообедать ! 😊👍 https://t.co/DNdf4W1HVk,04/27/2020 13:42:33,0,0,http://pbs.twimg.com/profile_images/708992312525922304/tRjeleR__normal.jpg
1254767895181066240,kingpin,callmeadtora,eleh facebook live semua org bbl jahat psl atiqah sasuey,04/27/2020 13:42:33,0,0,http://pbs.twimg.com/profile_images/1243845697134194689/QOYkP8IS_normal.jpg
